th1;th2;th3;th4;th5;th6;th7;th8;th9;th10;node_id;label
0;664;1600;1600;1600;1600;1600;1600;1600;124,440;4;Normal
0;744;1600;1600;1600;1600;1600;1600;1600;151,640;5;Zombie
0;96;1600;1600;1600;1600;1600;1600;1600;243,312;5;Zombie
0;716;1600;1600;1600;1600;1600;1600;1600;199,472;4;Normal
0;96;1600;1600;1600;1600;1600;1600;1600;243,312;5;Zombie
0;84;1600;1600;1600;1600;1600;1600;1600;199,808;5;Zombie
0;196;1600;1600;1600;1600;1600;1600;1600;177,744;4;Normal
0;488;1600;1600;1600;1600;1600;1600;1600;96,624;4;Normal
0;436;1600;1600;1600;1600;1600;1600;1600;177,144;4;Normal
0;188;1600;1600;1600;1600;1600;1600;1600;215,864;5;Zombie
0;224;1600;1600;1600;1600;1600;1600;1600;148,072;5;Zombie
0;656;1600;1600;1600;1600;1600;1600;1600;121,512;4;Normal
0;176;1600;1600;1600;1600;1600;1600;1600;0,000;4;Normal
0;364;1600;1600;1600;1600;1600;1600;1600;0,000;5;Zombie
0;448;1600;1600;1600;1600;1600;1600;1600;255,112;5;Zombie
0;648;1600;1600;1600;1600;1600;1600;1600;209,352;4;Normal
0;924;1600;1600;1600;1600;1600;1600;1600;112,728;4;Normal
0;492;1600;1600;1600;1600;1600;1600;1600;137,368;5;Zombie
0;116;1600;1600;1600;1600;1600;1600;1600;203,376;5;Zombie
0;200;1600;1600;1600;1600;1600;1600;1600;166,896;4;Normal
0;688;1600;1600;1600;1600;1600;1600;1600;172,752;4;Normal
0;448;1600;1600;1600;1600;1600;1600;1600;210,512;5;Zombie
0;364;1600;1600;1600;1600;1600;1600;1600;139,152;5;Zombie
0;496;1600;1600;1600;1600;1600;1600;1600;114,192;4;Normal
0;308;1600;1600;1600;1600;1600;1600;1600;155,184;4;Normal
0;576;1600;1600;1600;1600;1600;1600;1600;189,104;5;Zombie
0;212;1600;1600;1600;1600;1600;1600;1600;133,800;5;Zombie
0;360;1600;1600;1600;1600;1600;1600;1600;109,200;4;Normal
0;936;1600;1600;1600;1600;192;1600;1600;101,016;4;Normal
0;308;1600;1600;1600;1600;192;1600;1600;123,096;5;Zombie
0;520;1600;1600;1600;1600;390;1600;1600;144,504;5;Zombie
0;224;1600;1600;1600;1600;390;1600;1600;118,584;4;Normal
0;436;1600;1600;1600;1600;1600;1600;1600;112,728;4;Normal
0;164;1600;1600;1600;1600;1600;1600;1600;137,368;5;Zombie
0;356;1600;1600;1600;1600;1600;1600;1600;185,536;5;Zombie
0;356;1600;1600;1600;1600;1600;1600;1600;152,256;4;Normal
0;784;1600;1600;1600;1600;1600;1600;1600;103,376;4;Normal
0;432;1600;1600;1600;1600;1600;1600;1600;169,480;5;Zombie
0;208;1600;1600;1600;1600;1600;1600;1600;105,256;5;Zombie
0;628;1600;1600;1600;1600;1600;1600;1600;86,376;4;Normal
0;844;1600;1600;1600;1600;1600;1600;1600;180,072;4;Normal
0;188;1600;1600;1600;1600;1600;1600;1600;219,432;5;Zombie
0;56;1600;1600;1600;1600;1600;1600;1600;149,856;5;Zombie
0;780;1600;1600;1600;1600;1600;1600;1600;122,976;4;Normal
0;160;1600;1600;1600;1600;1600;288;1600;147,864;4;Normal
0;708;1600;1600;1600;1600;1600;288;1600;180,184;5;Zombie
0;384;1600;1600;1600;1600;1600;1600;1600;223,000;5;Zombie
0;524;1600;1600;1600;1600;1600;1600;1600;183,000;4;Normal
0;856;1600;1600;1600;1600;1600;1600;1600;145,600;4;Normal
0;500;1600;1600;1600;1600;1600;1600;1600;178,400;5;Zombie
0;664;1600;1600;1600;1600;1600;1600;1600;247,976;5;Zombie
0;856;1600;1600;1600;1600;1600;1600;1600;203,496;4;Normal
0;596;1600;1600;1600;1600;1600;1600;1600;215,208;4;Normal
0;512;1600;1600;1600;1600;1600;1600;1600;262,248;5;Zombie
0;424;1600;1600;1600;1600;1600;1600;1600;176,616;5;Zombie
0;532;1600;1600;1600;1600;1600;1600;1600;144,936;4;Normal
0;424;1600;1600;1600;1600;1600;1600;1600;131,760;4;Normal
0;228;1600;1600;1600;1600;1600;1600;1600;160,560;5;Zombie
0;428;1600;1600;1600;1600;1600;1600;1600;153,424;5;Zombie
0;396;1600;1600;1600;1600;1600;1600;1600;125,904;4;Normal
0;432;1600;1600;1600;1600;1600;1600;1600;125,904;4;Normal
0;460;1600;1600;1600;1600;1600;1600;1600;153,424;5;Zombie
0;572;1600;1600;1600;1600;1600;1600;1600;171,264;5;Zombie
0;652;1600;1600;1600;1600;1600;1600;1600;139,776;4;Normal
0;583;1600;1600;1600;1600;1600;1600;1600;101,016;4;Normal
0;204;1600;1600;1600;1600;1600;1600;1600;123,096;5;Zombie
0;44;1600;1600;1600;1600;1600;1600;1600;215,864;5;Zombie
0;540;1600;1600;1600;1600;1600;1600;1600;177,144;4;Normal
