no;th1;th2;th3;th4;th5;th6;th7;th8;th9;th10;node_id;label
1;0;664;1600;1600;1600;1600;1600;1600;1600;124,440;4;Normal
2;0;744;1600;1600;1600;1600;1600;1600;1600;151,640;5;Zombie
3;0;96;1600;1600;1600;1600;1600;1600;1600;243,312;5;Zombie
4;0;716;1600;1600;1600;1600;1600;1600;1600;199,472;4;Normal
5;0;96;1600;1600;1600;1600;1600;1600;1600;243,312;5;Zombie
6;0;84;1600;1600;1600;1600;1600;1600;1600;199,808;5;Zombie
7;0;196;1600;1600;1600;1600;1600;1600;1600;177,744;4;Normal
8;0;488;1600;1600;1600;1600;1600;1600;1600;96,624;4;Normal
9;0;436;1600;1600;1600;1600;1600;1600;1600;177,144;4;Normal
10;0;188;1600;1600;1600;1600;1600;1600;1600;215,864;5;Zombie
11;0;224;1600;1600;1600;1600;1600;1600;1600;148,072;5;Zombie
12;0;656;1600;1600;1600;1600;1600;1600;1600;121,512;4;Normal
13;0;176;1600;1600;1600;1600;1600;1600;1600;0,000;4;Normal
14;0;364;1600;1600;1600;1600;1600;1600;1600;0,000;5;Zombie
15;0;448;1600;1600;1600;1600;1600;1600;1600;255,112;5;Zombie
16;0;648;1600;1600;1600;1600;1600;1600;1600;209,352;4;Normal
17;0;924;1600;1600;1600;1600;1600;1600;1600;112,728;4;Normal
18;0;492;1600;1600;1600;1600;1600;1600;1600;137,368;5;Zombie
19;0;116;1600;1600;1600;1600;1600;1600;1600;203,376;5;Zombie
20;0;200;1600;1600;1600;1600;1600;1600;1600;166,896;4;Normal
21;0;688;1600;1600;1600;1600;1600;1600;1600;172,752;4;Normal
22;0;448;1600;1600;1600;1600;1600;1600;1600;210,512;5;Zombie
23;0;364;1600;1600;1600;1600;1600;1600;1600;139,152;5;Zombie
24;0;496;1600;1600;1600;1600;1600;1600;1600;114,192;4;Normal
25;0;308;1600;1600;1600;1600;1600;1600;1600;155,184;4;Normal
26;0;576;1600;1600;1600;1600;1600;1600;1600;189,104;5;Zombie
27;0;212;1600;1600;1600;1600;1600;1600;1600;133,800;5;Zombie
28;0;360;1600;1600;1600;1600;1600;1600;1600;109,200;4;Normal
29;0;936;1600;1600;1600;1600;192;1600;1600;101,016;4;Normal
30;0;308;1600;1600;1600;1600;192;1600;1600;123,096;5;Zombie
31;0;520;1600;1600;1600;1600;390;1600;1600;144,504;5;Zombie
32;0;224;1600;1600;1600;1600;390;1600;1600;118,584;4;Normal
33;0;436;1600;1600;1600;1600;1600;1600;1600;112,728;4;Normal
34;0;164;1600;1600;1600;1600;1600;1600;1600;137,368;5;Zombie
35;0;356;1600;1600;1600;1600;1600;1600;1600;185,536;5;Zombie
36;0;356;1600;1600;1600;1600;1600;1600;1600;152,256;4;Normal
37;0;784;1600;1600;1600;1600;1600;1600;1600;103,376;4;Normal
38;0;432;1600;1600;1600;1600;1600;1600;1600;169,480;5;Zombie
39;0;208;1600;1600;1600;1600;1600;1600;1600;105,256;5;Zombie
40;0;628;1600;1600;1600;1600;1600;1600;1600;86,376;4;Normal
41;0;844;1600;1600;1600;1600;1600;1600;1600;180,072;4;Normal
42;0;188;1600;1600;1600;1600;1600;1600;1600;219,432;5;Zombie
43;0;56;1600;1600;1600;1600;1600;1600;1600;149,856;5;Zombie
44;0;780;1600;1600;1600;1600;1600;1600;1600;122,976;4;Normal
45;0;160;1600;1600;1600;1600;1600;288;1600;147,864;4;Normal
46;0;708;1600;1600;1600;1600;1600;288;1600;180,184;5;Zombie
47;0;384;1600;1600;1600;1600;1600;1600;1600;223,000;5;Zombie
48;0;524;1600;1600;1600;1600;1600;1600;1600;183,000;4;Normal
49;0;856;1600;1600;1600;1600;1600;1600;1600;145,600;4;Normal
50;0;500;1600;1600;1600;1600;1600;1600;1600;178,400;5;Zombie
51;0;664;1600;1600;1600;1600;1600;1600;1600;247,976;5;Zombie
52;0;856;1600;1600;1600;1600;1600;1600;1600;203,496;4;Normal
53;0;596;1600;1600;1600;1600;1600;1600;1600;215,208;4;Normal
54;0;512;1600;1600;1600;1600;1600;1600;1600;262,248;5;Zombie
55;0;424;1600;1600;1600;1600;1600;1600;1600;176,616;5;Zombie
56;0;532;1600;1600;1600;1600;1600;1600;1600;144,936;4;Normal
57;0;424;1600;1600;1600;1600;1600;1600;1600;131,760;4;Normal
58;0;228;1600;1600;1600;1600;1600;1600;1600;160,560;5;Zombie
59;0;428;1600;1600;1600;1600;1600;1600;1600;153,424;5;Zombie
60;0;396;1600;1600;1600;1600;1600;1600;1600;125,904;4;Normal
61;0;432;1600;1600;1600;1600;1600;1600;1600;125,904;4;Normal
62;0;460;1600;1600;1600;1600;1600;1600;1600;153,424;5;Zombie
63;0;572;1600;1600;1600;1600;1600;1600;1600;171,264;5;Zombie
64;0;652;1600;1600;1600;1600;1600;1600;1600;139,776;4;Normal
65;0;583;1600;1600;1600;1600;1600;1600;1600;101,016;4;Normal
66;0;204;1600;1600;1600;1600;1600;1600;1600;123,096;5;Zombie
67;0;44;1600;1600;1600;1600;1600;1600;1600;215,864;5;Zombie
68;0;540;1600;1600;1600;1600;1600;1600;1600;177,144;4;Normal
69;0;656;1600;1600;1600;1600;1600;1600;1600;179,088;4;Normal
70;0;496;1600;1600;1600;1600;1600;1600;1600;219,432;5;Zombie
71;0;16;1600;1600;1600;1600;1600;1600;1600;153,424;5;Zombie
72;0;744;1600;1600;1600;1600;1600;1600;1600;125,904;4;Normal
73;0;336;1600;1600;1600;1600;1600;1600;1600;210,816;4;Normal
74;0;212;1600;1600;1600;1600;1600;1600;1600;256,896;5;Zombie
75;0;404;1600;1600;1600;1600;1600;1600;1600;167,696;5;Zombie
76;0;556;1600;1600;1600;1600;1600;1600;1600;136,863;4;Normal
77;0;228;1600;1600;1600;1600;1600;1600;1600;184,464;4;Normal
78;0;244;1600;1600;1600;1600;1600;1600;1600;224,784;5;Zombie
79;0;588;1600;1600;1600;1600;1600;1600;1600;224,784;5;Zombie
80;0;912;1600;1600;1600;1600;1600;1600;1600;184,464;4;Normal
81;0;480;1600;1600;1600;1600;1600;1600;1600;142,008;4;Normal
82;0;172;1600;1600;1600;1600;1600;1600;1600;173,048;5;Zombie
83;0;324;1600;1600;1600;1600;1600;1600;1600;96,336;5;Zombie
84;0;460;1600;1600;1600;1600;1600;1600;1600;79,056;4;Normal
85;0;220;1600;1600;1600;1600;1600;1600;1600;77,592;4;Normal
86;0;700;1600;1600;1600;1600;1600;1600;1600;94,552;5;Zombie
87;0;87;1600;1600;1600;1600;1600;1600;1600;228,352;5;Zombie
88;0;123;1600;1600;1600;1600;1600;1600;1600;187,392;4;Normal
89;0;520;1600;1600;1600;1600;1600;1600;1600;169,824;4;Normal
90;0;480;1600;1600;1600;1600;1600;1600;1600;206,016;5;Zombie
91;0;364;1600;1600;1600;1600;1600;1600;1600;105,256;5;Zombie
92;0;208;1600;1600;1600;1600;1600;1600;1600;86,376;4;Normal
93;0;332;1600;1600;1600;1600;1600;1600;1600;0,000;4;Normal
94;0;100;1600;1600;1600;1600;1600;1600;1600;0,000;5;Zombie
95;0;213;1600;1600;1600;1600;1600;1600;1600;217,648;5;Zombie
96;0;227;1600;1600;1600;1600;1600;1600;1600;178,608;4;Normal
97;0;528;438;1600;1600;1600;1600;1600;1600;200,568;4;Normal
98;0;388;438;1600;1600;1600;1600;1600;1600;244,408;5;Zombie
99;0;672;1600;1600;1600;1600;1600;1600;1600;258,680;5;Zombie
100;0;544;1600;1600;1600;1600;1600;1600;1600;212,280;4;Normal
